what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"14.3-b01",1290184342093
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1290184342828
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1290184343062
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1290184343078
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1290184343156
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1290184343718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184398718
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1290184403437
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1290184403531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184423421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184432562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184436109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184687625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184690171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184691312
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1290184691406
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1290184695093
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1290184695093
